,video_id,views,subscriberCount,category_id_1,category_id_2,category_id_10,category_id_15,category_id_17,category_id_19,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29
84,bAjxXtN81n8,16608,470990.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,UaGK8MCVZyE,113779,925245.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,OaTGK4rZr1g,7857,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,ishsnPy0XOU,53963,87946.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,z0RPAaITyyg,37037,279231.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,B80CK49etK0,135238,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Hv18-l6kESg,452195,4339035.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,YkGeOCP0JgU,108568,464451.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,D3xQ_NS0Hro,292922,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,XJFu0oJwdpw,191091,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,rskvlVMoYZE,6964,952034.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,T6LPSNcsEw4,2476,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,oWxN_S8ANGY,18407,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,wIdrjXroKC0,155479,1304066.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,gUukLb9ViRQ,35881,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,6qT5wAc3fEY,3136,108117.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,_TM_GRv-0FY,7331,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,_tjVER3BDW8,11028,2051122.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,_j2MiTRDkuY,6998,229499.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,3p7W5r4t3As,157029,834222.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,rmON2pSUdqM,88607,472912.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,_-gu6jeUTYk,14837,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,HHaPe2vOFpM,91475,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,eMONEl5YQxQ,92767,810217.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,V-Ocqn6itNQ,17161,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,RbXbsr256j0,25912,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,vUBq5g0wpss,21397,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,04YcnWKdOb0,112678,100264.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,x2Sp2ARYcSY,12122,45244.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
